angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,SPOCS,Name,Teff,logg,[M/H],S,logRhk,Vbr,Vsini,Vmac,Vrad,SNR,Crms,Lrms,N,[Fe/H],RAJ2000,DEJ2000,Vmag,Dist,logL,Rstar,Mstar,Miso,logg2,Age,CCat,Simbad
0.504710,1.4689371973800,-41.7530683379000,0.001,0.001,90,4995853014646189696,1.46950132518,0.0387,-41.75339738742,0.0317,25.7429,0.0558,97.746,0.055,-76.424,0.053,0,2.09904e+07,1.26537e+04,7.383312,1.14474e+07,2.89950e+04,7.704619,1.34052e+07,2.29092e+04,6.943739,0.760880,2.24,0.24,5940.00,0.0515,0.0223,1.05,1.240,1.46875,-41.753056,2,HD 105,6033,4.53,0.04,0.38,-4.35,17.8,14.6,4.9,10.2,247,0.02,0.01,2,0.1,00 05 52.5,-41 45 11,7.51,39.39,0.1,1.02,1.29,1.12,4.44,1.1,1,Simbad
0.459544,1.6532670598400,29.0215028861000,0.001,0.001,90,2860924621205256704,1.65513854048,0.0368,29.02073835347,0.0237,72.5764,0.0498,380.092,0.060,-177.573,0.037,0,8.53046e+07,5.09635e+04,5.860935,4.30828e+07,9.90128e+04,6.265629,5.79683e+07,1.38214e+05,5.353943,0.911686,-6.59,0.13,5551.50,0.0250,0.0115,0.87,0.651,1.653333,29.021389,4,HD 166,5489,4.51,0.07,0.42,-4.4,5.0,4.1,2.6,-7.2,357,0.01,0.01,1,0.12,00 06 36.8,+29 01 17,6.07,13.67,-0.21,0.87,0.89,0.96,4.53,2.2,1,Simbad
0.837028,2.1072733739200,6.6168022729600,0.002,0.001,90,2745647973856851712,2.10765210722,0.0549,6.61679478704,0.0477,25.9585,0.0582,87.378,0.132,-1.739,0.088,0,2.00069e+07,9.31266e+03,7.435418,1.07394e+07,1.72585e+04,7.773936,1.29442e+07,1.75312e+04,6.981730,0.792207,0.92,0.22,5871.00,0.0600,0.0267,1.04,1.166,2.107083,6.616667,6,HD 377,5895,4.46,0.12,0.38,-4.37,17.5,14.6,4.1,0.9,248,0.01,0.02,1,0.19,00 08 25.7,+06 37 00,7.59,39.08,0.06,1.03,1.12,1.12,4.44,1.3,1,Simbad
0.679016,2.8434890545900,30.4495762017000,0.001,0.001,90,2861502032312723328,2.84453606527,0.0429,30.44972949794,0.0442,29.1743,0.0601,209.637,0.074,35.603,0.068,1,1.51122e+07,7.48570e+03,7.740048,7.62936e+06,1.43146e+04,8.145168,1.04803e+07,2.55263e+04,7.210983,0.934185,-3.07,0.17,5587.75,0.1310,0.0645,0.90,0.711,2.843333,30.449444,10,HD 691,5489,4.48,0.18,0.56,-4.25,6.4,5.6,2.6,-3.2,258,0.01,0.02,1,0.24,00 11 22.4,+30 26 58,7.95,34.2,-0.17,0.91,0.91,0.99,4.5,2.7,1,Simbad
0.547146,4.4952876645100,-13.4556413084000,0.002,0.001,90,2423292879948720000,4.49706390709,0.0494,-13.45564186822,0.0318,37.1144,0.0519,401.216,0.128,-0.129,0.051,0,5.42443e+07,1.21701e+04,6.352480,2.94121e+07,3.35022e+04,6.680073,3.47194e+07,4.18342e+04,5.910489,0.769585,29.10,0.16,5948.75,0.1475,0.0620,1.17,1.541,4.495417,-13.455556,12,HD 1388,5924,4.32,0.02,0.16,-4.97,4.9,2.3,4.2,29.2,250,0.01,0.01,2,0.03,00 17 58.9,-13 27 20,6.51,27.22,0.18,1.17,1.05,1.09,4.34,4.3,1,Simbad
0.521570,4.6744473809100,-8.0530016050400,0.002,0.001,90,2430102808294101760,4.67626447120,0.0473,-8.05362060781,0.0273,42.6090,0.0557,417.875,0.098,-143.768,0.054,0,5.74473e+07,1.42701e+04,6.290191,3.01990e+07,4.80731e+04,6.651405,3.78098e+07,6.44841e+04,5.817908,0.833497,-10.16,0.18,5764.50,0.2218,0.0885,1.12,1.251,4.674583,-8.053056,13,HD 1461,5739,4.34,0.16,0.16,-5.01,3.9,1.8,3.3,-11.6,317,0.01,0.01,3,0.16,00 18 41.9,-08 03 11,6.47,23.25,0.07,1.1,0.97,1.07,4.39,4.1,1,Simbad
0.159987,7.7294938252800,77.0194043293000,0.001,0.001,90,540077264003238528,7.73600868117,0.0251,77.01925663334,0.0222,26.0335,0.0269,339.878,0.051,-34.322,0.043,0,7.93057e+07,3.86410e+04,5.940105,3.74776e+07,9.41812e+04,6.416958,5.78013e+07,5.96888e+04,5.357075,1.059883,13.88,0.14,5120.00,,,2.84,4.982,7.729583,77.019444,22,HD 2589,5062,3.65,-0.03,0.15,-5.13,3.6,0.6,3.5,12.9,393,0.01,0.01,1,-0.04,00 30 55.1,+77 01 10,6.18,38.51,0.69,2.89,1.37,1.23,3.6,5.2,1,Simbad
0.287623,10.1366483559000,-23.8049219470000,0.007,0.006,0,2347427397969642496,10.13978551776,0.1605,-23.80641790425,0.1551,35.1312,0.1452,666.660,0.386,-347.450,0.423,1,7.97529e+07,3.67233e+04,5.934000,4.01375e+07,1.00178e+05,6.342511,5.46721e+07,1.34981e+05,5.417505,0.925006,-45.42,0.17,5504.50,,,1.78,2.608,10.136667,-23.805,30,HD 3795,5379,4.11,-0.5,0.18,-4.93,3.1,1.9,2.3,-43.5,250,0.01,0.01,1,-0.54,00 40 32.8,-23 48 18,6.14,28.89,0.43,1.88,1.67,0.94,3.86,11.0,1,Simbad
0.436873,10.2994749222000,9.3550579184600,0.001,0.001,90,2750176827892427904,10.29893983403,0.0450,9.35461382248,0.0283,29.7721,0.0508,-122.626,0.093,-103.146,0.051,1,5.24098e+07,1.34934e+04,6.389834,2.96278e+07,2.90091e+04,6.672139,3.17871e+07,5.31357e+04,6.006292,0.665847,-14.72,0.15,6243.00,0.1500,0.0593,1.29,2.294,10.299583,9.355,33,HD 3861,6219,4.29,0.12,0.18,-4.81,4.8,0.1,6.4,-15.9,293,0.01,0.01,3,0.15,00 41 11.9,+09 21 18,6.52,33.44,0.34,1.28,1.16,1.25,4.33,1.6,1,Simbad
0.803439,11.1110447752000,-26.5156828283000,0.001,0.001,90,2343647384368388608,11.11255316102,0.0367,-26.51503915448,0.0253,29.2163,0.0577,313.484,0.064,149.500,0.047,0,1.70248e+07,3.92495e+03,7.610660,8.91000e+06,7.36497e+03,7.976694,1.13449e+07,1.16154e+04,7.124918,0.851776,56.76,0.18,5644.00,0.0170,0.0090,0.93,0.795,11.11125,-26.515556,34,HD 4208,5639,4.5,-0.26,0.19,-4.83,3.1,0.1,3.0,56.5,246,0.01,0.01,2,-0.29,00 44 26.7,-26 30 56,7.78,32.37,-0.15,0.88,0.9,0.9,4.5,5.5,1,Simbad
0.137618,11.1716678477000,20.4489272191000,0.002,0.001,90,2801366000472903040,11.17222877480,0.0408,20.44839250391,0.0288,12.2595,0.0538,122.070,0.102,-124.192,0.062,1,7.39891e+06,1.11285e+03,8.515447,3.79599e+06,1.60561e+03,8.903075,5.05539e+06,2.95512e+03,8.002534,0.900541,-14.06,0.15,5502.00,0.7420,0.3850,1.55,1.988,11.171667,20.448889,36,HD 4203,5582,4.08,0.34,0.15,-5.11,4.2,2.9,2.8,-15.0,254,0.01,0.01,2,0.35,00 44 41.2,+20 26 56,8.7,77.22,0.23,1.39,0.85,1.1,4.21,6.7,1,Simbad
0.201604,11.3695311833000,-12.8808088218000,0.001,0.001,90,2376087581593256448,11.36938251790,0.0420,-12.88169352795,0.0317,30.8128,0.0502,-33.660,0.088,-205.481,0.058,0,7.63817e+07,2.13383e+04,5.980892,4.09852e+07,3.20213e+04,6.319821,4.95279e+07,4.80918e+04,5.524796,0.795025,-10.15,0.14,5842.50,,,1.74,3.165,11.369583,-12.880833,39,HD 4307,5795,4.05,-0.18,0.15,-5.08,4.4,2.5,3.6,-10.3,301,0.01,0.01,3,-0.18,00 45 28.7,-12 52 51,6.15,31.0,0.45,1.67,1.12,1.06,4.01,7.7,1,Simbad
4.135695,11.3685345150000,-12.8813574645000,0.008,0.008,90,2376087581592047360,11.36835916732,0.3106,-12.88223375530,0.2007,29.8051,0.3233,-39.701,0.536,-203.526,0.504,0,6.41228e+04,8.53177e+02,13.670835,,,,,,,,,,,,,,,11.369583,-12.880833,39,HD 4307,5795,4.05,-0.18,0.15,-5.08,4.4,2.5,3.6,-10.3,301,0.01,0.01,3,-0.18,00 45 28.7,-12 52 51,6.15,31.0,0.45,1.67,1.12,1.06,4.01,7.7,1,Simbad
0.408964,12.0957347661000,5.2806137672200,0.003,0.002,90,2552925644460225152,12.09900166745,0.0897,5.27569803747,0.0526,134.4990,0.0890,755.561,0.212,-1141.745,0.104,0,1.25524e+08,1.17400e+05,5.441545,5.72832e+07,5.29021e+04,5.956320,9.25278e+07,1.43930e+05,4.846239,1.110081,-10.41,0.15,5013.50,0.1320,0.0717,0.73,0.302,12.095833,5.280556,40,HD 4628,4937,4.54,-0.22,0.19,-4.96,2.1,0.7,1.7,-7.5,296,0.01,0.02,5,-0.25,00 48 23.0,+05 16 50,5.74,7.45,-0.53,0.74,0.69,0.75,4.6,11.4,1,Simbad
0.250908,12.2762675180000,57.8152089307000,0.022,0.021,0,425040000951479424,12.28494507733,0.5169,57.81280313236,0.7787,171.2861,0.5815,1073.524,1.335,-558.835,1.394,1,1.00097e+09,5.49527e+06,3.187318,4.26676e+08,9.27761e+06,3.776144,5.71642e+08,2.84432e+06,2.869109,0.907035,,,5405.00,,,1.35,1.392,12.27625,57.815278,41,HD 4614,5919,4.37,-0.21,0.16,-4.96,4.3,0.5,4.2,11.6,263,0.01,0.01,3,-0.22,00 49 06.3,+57 48 55,3.46,5.95,0.09,1.05,0.94,0.99,4.39,5.3,2,Simbad
0.552453,12.3615050278000,-23.2124627138000,0.006,0.005,0,2348830516542120192,12.36393351074,0.1253,-23.21192948898,0.1227,53.1836,0.1264,518.372,0.346,123.849,0.368,1,3.15151e+07,6.50126e+03,6.942071,1.56868e+07,1.61429e+04,7.362549,2.20307e+07,2.90930e+04,6.404352,0.958198,9.63,0.14,5390.00,0.0370,0.0125,0.77,0.455,12.361667,-23.2125,42,HD 4747,5305,4.56,-0.23,0.23,-4.77,3.1,2.1,2.2,10.3,369,0.01,0.01,3,-0.24,00 49 26.8,-23 12 45,7.15,18.69,-0.35,0.79,0.82,0.82,4.55,7.9,1,Simbad
0.822492,12.7952002047000,-5.0392784711700,0.001,0.001,90,2525514785221197696,12.79633145784,0.0304,-5.03979061444,0.0263,44.4802,0.0442,261.728,0.081,-118.949,0.046,0,3.60112e+07,4.83956e+03,6.797271,1.88640e+07,1.37853e+04,7.162303,2.39002e+07,2.74234e+04,6.315916,0.846387,-3.69,0.13,5711.00,0.0590,0.0330,0.87,0.722,12.795,-5.039167,43,HD 4915,5668,4.56,-0.2,0.19,-4.86,3.5,1.4,3.1,-2.9,274,0.01,0.01,4,-0.21,00 51 10.8,-05 02 21,6.98,21.52,-0.19,0.84,0.92,0.93,4.54,2.1,1,Simbad
