angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,HIP,B-V,SHK,Act,Jitter,logRHK,dMag,Prot,Age,Obs,S,SimbadName,_RA,_DE
0.083236,9.7460151614500,30.6162186926000,0.001,0.001,90,2858600494141185280,9.75381232952,0.0391,30.61633443939,0.0238,78.9551,0.0355,1558.504,0.076,26.829,0.057,0,1.80709e+06,1.26716e+03,10.045916,4.02578e+05,8.62181e+02,11.339264,2.09696e+06,3.22038e+03,8.957947,2.381317,,,3676.50,0.2945,0.1575,,,9.7460125,30.6162417,GJ 26,,1.54,0.895,Act,2.844,,0.17,,,K,S,GJ 26,9.74601,30.61624
0.108925,1.4209245231600,45.8120958930000,0.001,0.001,90,386653851004022144,1.42641363651,0.0458,45.81139649778,0.0313,86.8735,0.0484,888.615,0.071,-162.470,0.045,0,9.46420e+06,4.33712e+03,8.248157,2.95025e+06,4.24375e+03,9.176742,9.47445e+06,8.08298e+03,7.320535,1.856206,1.15,0.16,4104.33,0.3810,0.1880,0.55,0.077,1.4208869,45.8120808,HD 38A,473,1.41,1.775,Act,4.542,,1.01,,,K,S,HD 38A,1.42089,45.81208
0.601203,15.3335377609000,61.3657449833000,0.001,0.001,0,426641955043723520,15.33679531166,0.0237,61.36225047846,0.0271,95.0899,0.0372,362.568,0.049,-811.628,0.051,0,2.19224e+06,1.43723e+03,9.836144,5.00968e+05,7.93979e+02,11.101864,2.51684e+06,3.12456e+03,8.759780,2.342084,6.84,0.68,3743.33,0.1040,0.0680,,,15.333625,61.3655833,GJ 47,,1.39,1.074,Act,2.885,,-1.4,,,K,S,GJ 47,15.33362,61.36558
0.014335,15.6343128610000,71.6798150826000,0.001,0.001,90,533621859441169920,15.65824019274,0.0280,71.67817353188,0.0249,121.4237,0.0339,1746.814,0.050,-381.610,0.049,0,5.03470e+06,2.61887e+03,8.933432,1.07125e+06,3.06020e+03,10.276658,6.02493e+06,1.18253e+04,7.812040,2.464618,,,3786.00,0.6473,0.3770,,,15.6343003,71.6798156,GJ 48,4856,1.46,0.907,Act,2.483,,-0.9,,,K,S,GJ 48,15.6343,71.67982
0.003241,15.6619499702000,62.3450480103000,0.001,0.001,0,522863309964987520,15.66873212268,0.0207,62.34543864031,0.0262,101.4650,0.0335,731.135,0.041,90.690,0.048,0,6.45978e+06,4.07270e+03,8.662821,1.64286e+06,2.12911e+03,9.812386,7.11236e+06,8.69315e+03,7.631885,2.180501,-6.56,0.23,3777.00,0.6030,0.2762,0.51,0.048,15.6619519,62.3450481,GJ 49,4872,1.5,2.947,Act,7.51,,0.51,,,K,S,GJ 49,15.66195,62.34505
3.531980,15.6603293220000,62.3456769092000,0.020,0.019,90,522863309961195904,15.66031419653,0.5061,62.34567273533,0.6965,0.8774,0.8480,-1.631,1.288,-0.969,1.230,0,1.23510e+02,8.74238e-01,20.459106,6.90712e+01,8.11133e+00,20.753145,2.09495e+02,9.02957e+00,18.958984,1.794161,,,,,,,,15.6619519,62.3450481,GJ 49,4872,1.5,2.947,Act,7.51,,0.51,,,K,S,GJ 49,15.66195,62.34505
0.042447,30.0539841391000,13.0519503596000,0.003,0.002,90,76868614540049408,30.05883066568,0.0813,13.04431723721,0.0726,223.6349,0.1066,1096.565,0.171,-1772.865,0.153,0,1.01599e+06,8.79944e+02,10.671143,1.28054e+05,3.75326e+02,12.582909,1.38390e+06,7.05115e+03,9.409162,3.173747,,,3305.00,0.2420,0.1513,,,30.0539958,13.0519472,GJ 83.1,,1.82,14.72,Act,0.0,,0.76,,,K,S,GJ 83.1,30.054,13.05195
0.014960,33.0874477374000,3.5756196007000,0.001,0.001,90,2515037264041041536,33.07984453435,0.0379,3.56764248643,0.0325,95.1619,0.0413,-1762.475,0.073,-1852.764,0.067,0,3.92105e+06,2.48759e+03,9.204859,1.04168e+06,3.31742e+03,10.307054,4.27933e+06,8.96245e+03,8.183481,2.123572,-2.73,0.30,3967.40,0.0280,0.0190,,,33.0874519,3.5756197,GJ 87,10279,1.43,0.634,Act,2.1,,-0.8,,,K,S,GJ 87,33.08745,3.57562
0.007354,1.4689371973800,-41.7530683379000,0.001,0.001,90,4995853014646189696,1.46950132518,0.0387,-41.75339738742,0.0317,25.7429,0.0558,97.746,0.055,-76.424,0.053,0,2.09904e+07,1.26537e+04,7.383312,1.14474e+07,2.89950e+04,7.704619,1.34052e+07,2.29092e+04,6.943739,0.760880,2.24,0.24,5940.00,0.0515,0.0223,1.05,1.240,1.4689347,-41.7530675,HD 105,490,0.6,0.38,Act,6.581,-4.344,0.0,3,0.19,K,S,HD 105,1.46893,-41.75307
1.812919,39.0636111851000,6.8716456375200,0.002,0.002,90,18565464288396416,39.07142522297,0.0722,6.87788838718,0.0667,138.4637,0.0886,1801.837,0.147,1449.914,0.132,0,1.40680e+06,1.76958e+03,10.317788,2.24656e+05,4.93334e+02,11.972591,1.82576e+06,3.83032e+03,9.108310,2.864282,,,3490.12,0.2107,0.1242,,,39.0639875,6.8719833,GJ 105B,,1.62,0.843,Act,3.717,,-0.1,,,K,S,GJ 105B,39.06399,6.87198
