angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,Star,Nobs,Smin,Smax,Smean,e_Smean,sdS,Wmin,Wmean,Date1,Date2,SName,RAJ2000,DEJ2000,rPos,Bmag,Vmag,ASCC,HIP
2.609028,316.0194865340000,-5.8237158851400,0.002,0.001,90,6910418146641915648,316.01954163751,0.0626,-5.82373930699,0.0523,5.4454,0.0762,12.732,0.121,-5.440,0.093,0,1.81792e+07,5.34260e+04,7.539427,1.40670e+07,3.32007e+03,7.480887,,,,,,,,,,,,HD 200497,3,0.2323,0.2374,0.2344,0.0027,1.14,1600.9,1650.9,1982-08-03,1982-08-03,HD 200497,316.0196,-5.823,A,6.511,5.718,1337143,103981
3.769308,315.6698080250000,45.8847682500000,0.001,0.001,0,2163558855915068416,315.67232252579,0.0251,45.88537653885,0.0290,51.3456,0.0324,406.538,0.052,141.275,0.055,0,2.03732e+07,6.14581e+03,7.415718,9.24021e+06,2.18171e+04,7.937183,1.54726e+07,2.75032e+04,6.788012,1.149171,-14.33,0.15,4963.00,0.1097,0.0640,0.79,0.340,HD 200560,4,0.6045,0.7574,0.6725,0.0675,10.03,998.6,1446.0,1978-06-06,1978-09-29,HD 200560,315.6684,45.8844,A,8.666,7.705,353942,103859
0.238255,316.2327516460000,43.9278452598000,0.011,0.010,0,2162316545203102208,316.23281000955,0.3052,43.92785686410,0.4117,3.5884,0.4169,9.763,0.646,2.695,0.704,1,1.25577e+09,5.92964e+06,2.941090,3.27837e+08,3.61213e+06,4.062242,8.94134e+08,1.46595e+07,2.383413,1.678829,,,4239.00,,,138.50,5579.831,HD 200905,3,0.4495,0.4514,0.4506,0.001,0.22,4410.4,4451.4,1982-07-26,1982-07-26,HD 200905,316.2327,43.9279,A,5.325,3.708,438078,104060
0.579074,316.7819546900000,-25.0058555244000,0.010,0.007,90,6803883097774049280,316.78182454249,0.3327,-25.00604291935,0.2787,8.5328,0.5141,-27.394,0.677,-43.524,0.465,0,6.33656e+08,2.40431e+06,3.683732,1.67760e+08,4.45154e+05,4.789670,5.67287e+08,3.78270e+06,2.877412,1.912257,,,3903.33,0.4560,0.2300,54.06,611.295,HD 200914,3,0.2594,0.2998,0.2787,0.0203,7.27,884.0,886.5,1982-07-25,1982-07-25,HD 200914,316.782,-25.0057,A,6.105,4.511,1707767,104234
3.362772,316.7932536050000,-13.9229258356000,0.001,0.001,90,6885342959337741184,316.79495359663,0.0430,-13.92314273809,0.0386,57.4341,0.0514,383.237,0.081,-50.376,0.062,0,3.18583e+07,8.13338e+03,6.930311,1.51591e+07,1.57844e+04,7.399707,2.31398e+07,3.37789e+04,6.351021,1.048686,-32.95,0.17,5163.50,0.1190,0.0587,0.80,0.408,HD 200968,4,0.4716,0.4918,0.4836,0.0086,1.77,737.9,880.5,1981-06-09,1981-07-20,HD 200968,316.7923,-13.9228,A,8.074,7.185,1421503,104239
0.024035,316.6503900910000,47.6483998819000,0.008,0.008,90,2165218431284906624,316.65042838664,0.2391,47.64839528578,0.2510,2.6563,0.2663,5.992,0.532,-1.067,0.502,0,5.19107e+08,1.84534e+06,3.900223,1.61129e+08,5.19318e+05,4.833452,4.45591e+08,1.80930e+06,3.139579,1.693873,,,4131.75,,,130.48,4470.384,HD 201251,3,0.3293,0.3636,0.3472,0.0172,4.95,2094.8,2178.0,1982-07-26,1982-07-26,HD 201251,316.6504,47.6484,A,6.113,4.536,354501,104194
0.428218,317.4927687850000,2.9436971087100,0.005,0.005,0,1731712847900164992,317.49297961498,0.2208,2.94374396806,0.1716,15.2530,0.3122,48.902,0.316,10.883,0.328,0,5.50134e+07,1.64247e+04,6.337194,3.30233e+07,7.13685e+04,6.554338,3.11869e+07,2.35940e+05,6.026991,0.527347,,,6686.45,,,2.25,9.147,HD 201507,3,0.2402,0.2407,0.2405,3.0E-4,0.1,2411.5,2456.7,1982-08-11,1982-08-11,HD 201507,317.4927,2.9436,A,6.827,6.442,1175553,104481
1.230092,317.5854171500000,10.1315783571000,0.007,0.007,0,1744662586614707072,317.58561546486,0.1930,10.13092603968,0.1575,28.7705,0.2323,45.342,0.457,-151.506,0.459,1,2.74079e+08,5.80133e+05,4.593675,1.67493e+08,1.29529e+05,4.791395,1.33604e+08,2.34295e+05,4.447372,0.344024,,,7457.25,,,2.16,13.039,HD 201601,3,0.3842,0.3926,0.3885,0.0042,1.08,3042.1,3092.5,1982-07-23,1982-07-23,HD 201601,317.5853,10.1319,A,5.007,4.697,991130,104521
3.611117,317.9978917230000,24.1677812458000,0.008,0.003,90,1840257219909109888,317.99998140687,0.1229,24.16824553318,0.0755,17.2718,0.0793,442.806,0.527,107.831,0.204,0,2.09301e+06,4.88972e+03,9.886437,2.13633e+06,4.30905e+05,9.527219,2.76419e+06,7.25903e+05,8.658000,0.869219,-102.46,0.33,5095.63,,,,,HD 201889,2,0.1502,1.0949,0.6226,0.668,107.3,604.8,1422.8,1978-06-14,1978-08-30,HD 201889,317.9968,24.1679,A,8.691,8.106,817889,104660
4.096317,317.9980134040000,24.1681630290000,0.002,0.001,0,1840257219911221120,318.00008097997,0.0459,24.16863169691,0.0441,17.3990,0.0591,438.120,0.094,108.849,0.119,0,1.13948e+07,1.25555e+04,8.046597,6.45099e+06,6.53233e+04,8.327323,7.86523e+06,1.36097e+05,7.522641,0.804682,-102.85,0.37,5701.40,0.2000,0.1318,1.25,1.494,HD 201889,2,0.1502,1.0949,0.6226,0.668,107.3,604.8,1422.8,1978-06-14,1978-08-30,HD 201889,317.9968,24.1679,A,8.691,8.106,817889,104660
0.723242,318.2340800830000,30.2268998378000,0.010,0.008,90,1851924859347035520,318.23408936265,0.3298,30.22670288436,0.3315,20.3005,0.3909,1.862,0.647,-45.744,0.547,1,1.38300e+09,3.00714e+05,2.836312,4.52833e+08,5.78021e+06,3.711542,7.96098e+08,5.60504e+06,2.509504,1.202038,15.62,0.23,4707.25,,,,,HD 202109,3,0.0998,0.1018,0.1006,0.001,1.03,5238.8,5871.4,1982-07-14,1982-07-14,HD 202109,318.2341,30.2271,A,4.192,3.197,632339,104732
0.213902,318.5428512970000,29.9009605926000,0.001,0.001,0,1851857686061516800,318.54286377009,0.0272,29.90095987313,0.0345,2.0470,0.0418,2.511,0.061,-0.167,0.061,0,8.58864e+07,3.78382e+04,5.853555,3.69359e+07,3.14041e+04,6.432766,6.71057e+07,7.29405e+04,5.195022,1.237744,-6.63,0.15,4814.67,,,43.95,935.247,HD 202314,3,0.227,0.2446,0.2359,0.0088,3.73,1344.1,1419.9,1982-07-19,1982-07-19,HD 202314,318.5428,29.901,A,7.27,6.17,727035,104822
4.500366,318.6979298160000,38.0454474929000,0.012,0.011,0,1964791583368232832,318.69868215525,0.3419,38.04739325243,0.4304,49.5763,0.4634,137.609,0.712,451.918,0.797,1,7.03879e+08,6.47020e+06,3.569621,3.85748e+08,2.25167e+06,3.885628,3.77221e+08,3.14350e+06,3.320432,0.565196,,,6561.00,1.0660,0.4975,2.58,11.077,HD 202444,3,0.241,0.2448,0.2431,0.0019,0.79,14107.1,14124.0,1982-07-14,1982-07-14,HD 202444,318.6973,38.0443,A,4.155,3.734,532853,104887
1.019663,318.9559920930000,5.2478911132600,0.009,0.009,0,1732693474833048192,318.95620350712,0.3433,5.24750524624,0.3018,19.4571,0.3999,48.897,0.604,-89.621,0.605,1,6.27004e+08,2.24416e+06,3.695190,3.12397e+08,1.79032e+06,4.114621,3.71619e+08,1.28443e+06,3.336677,0.777944,-24.11,8.46,5980.00,,,7.50,64.747,HD 202447,3,0.2366,0.2386,0.2374,0.001,0.44,11490.8,11551.6,1982-07-18,1982-07-18,HD 202447,318.9558,5.2481,A,4.492,3.937,1084696,104987
0.628373,318.9882209310000,25.4338343063000,0.002,0.001,0,1840805189019154176,318.98790675016,0.0467,25.43367286978,0.0507,5.8960,0.0526,-65.899,0.093,-37.495,0.110,0,3.85781e+07,8.56427e+03,6.722515,1.79724e+07,3.91952e+04,7.214876,2.87012e+07,7.02265e+04,6.117171,1.097705,-25.66,0.15,4971.23,,,9.41,48.702,HD 202573,3,0.1018,0.1082,0.1053,0.0032,3.07,481.3,513.5,1982-07-15,1982-07-15,HD 202573,318.9884,25.4339,A,7.876,6.982,727250,105000
1.669521,319.1352794620000,9.3938262954400,0.001,0.001,90,1743592452563243136,319.13591500118,0.0360,9.39331589475,0.0381,61.8699,0.0441,145.630,0.071,-118.545,0.071,0,1.76876e+07,6.50085e+03,7.569194,7.57195e+06,1.57491e+04,8.153369,1.40710e+07,2.95448e+04,6.891107,1.262262,-18.14,0.16,4725.33,0.1848,0.0820,0.69,0.216,HD 202575,1,0.7598,0.7598,0.7598,0.0,0.0,705.6,705.6,1978-07-16,1978-07-16,HD 202575,319.1349,9.3941,A,8.955,7.906,1084745,105038
4.218253,319.5123920300000,0.1615752088870,0.001,0.001,0,2689454850844597504,319.51440464819,0.0421,0.16076541192,0.0448,49.5918,0.0509,467.455,0.081,-188.086,0.083,0,1.37426e+07,4.99230e+03,7.843195,5.99726e+06,1.24692e+04,8.406506,1.08226e+07,1.81229e+04,7.176093,1.230413,-27.32,0.18,4879.58,0.1603,0.0763,0.70,0.251,HD 202751A,3,0.2215,0.2772,0.2429,0.03,12.36,220.0,238.5,1982-08-14,1982-08-14,HD 202751,319.5113,0.162,A,9.242,8.162,1176153,105152
0.096707,319.8153518090000,58.6235095947000,0.009,0.007,0,2191213153886504704,319.81533994595,0.2093,58.62348622947,0.2923,1.5859,0.2150,-1.435,0.457,-5.427,0.580,1,2.73700e+08,1.03946e+06,4.595179,5.93331e+07,3.59557e+05,5.918146,2.77862e+08,9.14572e+05,3.652349,2.265797,-12.73,0.44,3753.36,0.7890,0.3733,217.57,8464.013,HD 203338,3,0.6941,0.7159,0.7078,0.0119,1.68,2407.0,2436.9,1982-07-26,1982-07-26,HD 203338,319.8154,58.6235,A,6.897,5.704,211087,105259
4.532964,319.8170930460000,58.6243991397000,0.002,0.001,0,2191213153886823552,319.81707066215,0.0399,58.62438508901,0.0603,1.0558,0.0395,-2.707,0.080,-3.263,0.105,0,2.77108e+06,3.38780e+03,9.581743,1.86545e+06,1.56724e+04,9.674428,1.72089e+06,4.79583e+04,9.172538,0.501890,,,7094.93,,,6.51,96.689,HD 203338,3,0.6941,0.7159,0.7078,0.0119,1.68,2407.0,2436.9,1982-07-26,1982-07-26,HD 203338,319.8154,58.6235,A,6.897,5.704,211087,105259
2.340646,320.2683090150000,23.8559645851000,0.003,0.002,0,1792369296632990848,320.26945173370,0.0832,23.85545428594,0.0689,11.9053,0.1116,242.731,0.153,-118.522,0.178,1,1.48123e+08,2.37567e+05,5.261807,6.35146e+07,9.01138e+04,5.844204,1.14412e+08,3.57648e+05,4.615739,1.228465,-88.14,0.15,4737.75,0.0780,0.0373,10.36,48.755,HD 203344,3,0.1205,0.1262,0.1236,0.0029,2.33,1479.0,1492.0,1982-07-15,1982-07-15,HD 203344,320.2677,23.8563,A,6.652,5.582,818856,105411
0.236130,320.5616453190000,-16.8345507991000,0.007,0.006,90,6835905927255271424,320.56178196756,0.2206,-16.83452285468,0.2329,16.1767,0.3004,30.378,0.443,6.490,0.359,0,4.86840e+08,1.09158e+06,3.969901,2.15127e+08,3.60033e+05,4.519651,3.31870e+08,8.78818e+05,3.459499,1.060152,12.55,0.43,5080.00,,,11.53,79.812,HD 203387,3,0.2974,0.305,0.301,0.0038,1.27,3220.2,3261.7,1982-08-15,1982-08-15,HD 203387,320.5616,-16.8346,A,5.183,4.287,1514826,105515
1.388063,320.5612270450000,-16.8347457317000,0.019,0.006,90,6835905927254646272,320.56122704452,18.7135,-16.83474573174,6.2230,,,,,,,0,9.86779e+05,3.14777e+04,10.702816,,,,,,,,,,,,,,,HD 203387,3,0.2974,0.305,0.301,0.0038,1.27,3220.2,3261.7,1982-08-15,1982-08-15,HD 203387,320.5616,-16.8346,A,5.183,4.287,1514826,105515
2.295464,320.2559103140000,40.3449660456000,0.001,0.001,0,1965602679357877504,320.25584584467,0.0234,40.34405498940,0.0296,37.1296,0.0321,-11.412,0.052,-211.600,0.056,0,6.09521e+07,1.73718e+04,6.225894,3.34120e+07,4.87207e+04,6.541634,3.87915e+07,1.16649e+05,5.790078,0.751556,30.88,13.36,5935.45,0.1535,0.0760,1.24,1.732,HD 203454,1,0.3031,0.3031,0.3031,0.0,0.0,40200.2,40200.2,1979-11-14,1979-11-14,HD 203454,320.256,40.3456,A,6.939,6.389,439887,105406
