angDist,_RAJ2000,_DEJ2000,SimbadName,B-V,VMAG,GSVal,log(R'HK),l_log(Age),log(Age),Svalues,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.024885,0.589769,11.006236,HIP 184,0.888,5.85,0.177,-5.01,,9.76,Svalues,0.5898,11.0062,0.5897621282820,11.0062375108000,0.002,0.001,90,2765462891378117504,0.58974042587,0.0466,11.00605361621,0.0334,29.5237,0.0552,-4.948,0.106,-42.711,0.065,0,9.54038e+06,2.00625e+03,8.239451,4.57321e+06,4.30492e+03,8.700836,6.94408e+06,5.40772e+03,7.657884,1.042952,-17.60,0.13,5161.50,0.0455,0.0367,0.85,0.463
4.546614,0.589769,11.006236,HIP 184,0.888,5.85,0.177,-5.01,,9.76,Svalues,0.5898,11.0062,0.5910157573290,11.0059240879000,0.005,0.004,0,2765462887081597696,0.59102971914,0.0869,11.00575505247,0.0712,29.8392,0.1001,3.183,0.257,-39.260,0.351,0,1.29468e+05,1.33542e+02,12.907957,4.52971e+04,7.23071e+03,13.711213,1.81863e+05,7.10451e+03,11.612561,2.098652,,,4003.96,,,,
0.007091,1.234671,23.269629,HIP 400,0.755,5.78,0.174,-4.96,,9.68,Svalues,1.2347,23.2696,1.2346731188500,23.2696286991000,0.001,0.001,90,2848150288954631296,1.23646605391,0.0476,23.26959739423,0.0430,37.9246,0.0597,382.548,0.085,-7.273,0.077,0,1.70107e+07,3.59722e+03,7.611559,8.50844e+06,8.72885e+03,8.026763,1.18535e+07,2.05724e+04,7.077303,0.949461,7.51,0.16,5313.75,0.0165,0.0067,0.82,0.488
0.009118,1.295368,45.786567,HIP 428,1.472,9.65,1.788,,,,Svalues,1.2954,45.7866,1.2953715719200,45.7865665416000,0.001,0.001,90,386655019234959872,1.30074786702,0.0373,45.78591538238,0.0238,86.9567,0.0407,870.753,0.057,-151.267,0.036,0,4.40132e+06,2.65153e+03,9.079408,1.15331e+06,2.55881e+03,10.196524,4.79279e+06,8.45994e+03,8.060449,2.136075,-1.24,0.31,3892.00,0.3040,0.1890,,
0.001742,1.351783,-37.357362,HIP 439,1.462,10.36,0.451,,,,Svalues,1.3518,-37.3574,1.3517825075500,-37.3573622844000,0.003,0.001,90,2306965202564506752,1.38229963942,0.0588,-37.36741971886,0.0380,230.1331,0.0600,5633.374,0.170,-2334.794,0.075,1,1.59438e+07,1.35527e+04,7.681889,4.08359e+06,7.82178e+03,8.823783,1.79415e+07,2.69788e+04,6.627273,2.196510,25.29,0.15,3910.01,0.2810,0.1517,,
0.108350,1.420887,45.812081,HIP 473,1.44,8.66,1.647,,,,Svalues,1.4209,45.8121,1.4209245231600,45.8120958930000,0.001,0.001,90,386653851004022144,1.42641363651,0.0458,45.81139649778,0.0313,86.8735,0.0484,888.615,0.071,-162.470,0.045,0,9.46420e+06,4.33712e+03,8.248157,2.95025e+06,4.24375e+03,9.176742,9.47445e+06,8.08298e+03,7.320535,1.856206,1.15,0.16,4104.33,0.3810,0.1880,0.55,0.077
1.295233,1.421292,45.810556,GJ 4B,1.41,,1.82,,,,Svalues,1.4213,45.8106,1.4208450962300,45.8103759725000,0.003,0.002,90,386653747924807424,1.42607010337,0.1146,45.80973654486,0.0771,86.9402,0.0588,845.890,0.170,-148.540,0.109,1,9.01477e+06,4.68336e+03,8.300980,2.76988e+06,4.19149e+03,9.245234,9.09699e+06,1.19372e+04,7.364676,1.880558,-2.26,0.22,4138.52,0.5010,0.2530,0.52,0.072
2.488490,1.421292,45.810556,GJ 4B,1.41,,1.82,,,,Svalues,1.4213,45.8106,1.4203111558200,45.8106580000000,0.004,0.002,90,386653747923608192,1.42028900163,0.1430,45.81065217844,0.0712,0.3821,0.1517,-3.587,0.232,-1.352,0.106,0,1.89139e+03,3.78617e+00,17.496414,1.18003e+03,4.99976e+01,17.671658,1.81606e+03,1.89784e+02,16.614096,1.057562,,,,,,,
0.003438,1.468936,-41.753068,HIP 490,0.595,4.49,0.337,-4.41,,8.63,Svalues,1.4689,-41.7531,1.4689371973800,-41.7530683379000,0.001,0.001,90,4995853014646189696,1.46950132518,0.0387,-41.75339738742,0.0317,25.7429,0.0558,97.746,0.055,-76.424,0.053,0,2.09904e+07,1.26537e+04,7.383312,1.14474e+07,2.89950e+04,7.704619,1.34052e+07,2.29092e+04,6.943739,0.760880,2.24,0.24,5940.00,0.0515,0.0223,1.05,1.240
0.015965,1.885587,-23.818719,HIP 616,0.798,6.14,0.179,-4.96,,9.68,Svalues,1.8856,-23.8187,1.8855908674200,-23.8187216736000,0.001,0.001,90,2336728947968831104,1.88710065290,0.0378,-23.81832893153,0.0296,30.5639,0.0579,320.793,0.076,91.219,0.060,1,7.69357e+06,1.70016e+03,8.473046,3.76023e+06,3.51557e+03,8.913352,5.51779e+06,7.53560e+03,7.907508,1.005844,-43.50,0.43,5220.00,0.0415,0.0230,0.72,0.345
