angDist,_RAJ2000,_DEJ2000,Name,SpType,plx,logg,l_[Fe/H],[Fe/H],l_Prot,Prot,<S>,<FHK>,<FHa>,Simbad,_RA,_DE,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.004913,5.7157844,-12.2094381,HD   1835,G3V,49.05,4.22,,-0.01,,7.78,0.35,187.2,33.75,Simbad,5.71578,-12.20944,5.7157847162200,-12.2094367708000,0.002,0.001,90,2423493369021649920,5.71752259024,0.0420,-12.20917389555,0.0288,46.9258,0.0508,394.506,0.120,61.056,0.059,0,6.09903e+07,4.10236e+04,6.225214,3.23068e+07,6.55902e+04,6.578154,4.02581e+07,7.41806e+04,5.749787,0.828366,-2.34,0.16,5760.90,0.1057,0.0540,1.05,1.095
0.010906,9.1582344,-49.1323231,HD   3405,G0/G1V,22.79,,,,,,0.33,219.1,46.33,Simbad,9.15823,-49.13232,9.1582361567300,-49.1323259029000,0.001,0.000,0,4974688412245511424,9.16077093789,0.0162,-49.13289940966,0.0175,22.5200,0.0264,385.210,0.030,-133.195,0.038,0,4.20517e+07,1.09612e+04,6.628906,2.24947e+07,3.41539e+04,6.971188,2.71880e+07,3.30152e+04,6.175976,0.795212,,,5890.00,,,1.73,3.254
1.633341,9.1582344,-49.1323231,HD   3405,G0/G1V,22.79,,,,,,0.33,219.1,46.33,Simbad,9.15823,-49.13232,9.1575596245400,-49.1322186349000,0.011,0.004,0,4974688412245652736,9.15755962454,4.4327,-49.13221863489,10.7368,,,,,,,0,3.57988e+02,9.57895e+00,19.303694,,,,,,,,,,,,,,
0.247131,10.1367042,-23.8048761,HD   3795,G3/G5V,35.02,3.75,,-0.7,,32.0,0.15,70.85,28.05,Simbad,10.1367,-23.80488,10.1366483559000,-23.8049219470000,0.007,0.006,0,2347427397969642496,10.13978551776,0.1605,-23.80641790425,0.1551,35.1312,0.1452,666.660,0.386,-347.450,0.423,1,7.97529e+07,3.67233e+04,5.934000,4.01375e+07,1.00178e+05,6.342511,5.46721e+07,1.34981e+05,5.417505,0.925006,-45.42,0.17,5504.50,,,1.78,2.608
0.002903,11.1636156,-65.6495222,HD   4308,G3V,45.76,4.29,,-0.47,,,0.16,94.45,30.47,Simbad,11.16362,-65.64952,11.1636146904000,-65.6495229140000,0.001,0.001,90,4708607629114652032,11.16525940042,0.0213,-65.65271591976,0.0195,45.3930,0.0220,157.504,0.041,-741.599,0.040,0,5.32752e+07,1.19162e+04,6.372052,2.79370e+07,4.83504e+04,6.735939,3.52973e+07,1.52044e+05,5.892565,0.843373,95.19,0.16,5752.75,0.1438,0.0693,1.02,1.023
0.015076,12.8917467,-22.910065,HD   4967,K5V,65.81,,,,,,1.49,33.55,10.66,Simbad,12.89175,-22.91006,12.8917506312000,-22.9100671034000,0.002,0.001,90,2349206308999273984,12.89461667282,0.0531,-22.91125701566,0.0396,65.1905,0.0567,613.143,0.154,-276.357,0.067,0,8.15953e+06,4.86863e+03,8.409204,2.90517e+06,3.34834e+03,9.193460,7.46748e+06,1.01230e+04,7.578985,1.614475,14.46,0.16,4271.29,0.4380,0.2117,0.60,0.108
0.009546,14.9350906,-31.3361847,HD   5869,K4V,4.76,,,,,,0.18,1.11,31.14,Simbad,14.93509,-31.33618,14.9350926557000,-31.3361866872000,0.001,0.001,90,5030721311502355200,14.93521523248,0.0577,-31.33619429145,0.0405,3.3922,0.0806,24.317,0.094,-1.766,0.070,1,3.07971e+07,1.20124e+04,6.967091,1.06377e+07,1.96764e+04,7.784271,2.84497e+07,6.48325e+04,6.126728,1.657543,-11.77,0.44,4186.00,0.3918,0.1710,23.87,157.617
0.026308,23.4284875,-7.0253408,HD   9562,G2IV,33.71,3.9,,0.18,,29.0,0.14,84.8,30.39,Simbad,23.42849,-7.02534,23.4284806450000,-7.0253434674000,0.003,0.002,90,2477891500647336704,23.42923964826,0.1078,-7.02569959918,0.0603,33.6309,0.1231,174.962,0.213,-82.715,0.106,0,1.10283e+08,1.28983e+05,5.582091,5.84874e+07,1.60463e+05,5.933732,7.06371e+07,2.87792e+05,5.139339,0.794394,-14.83,0.19,5896.00,0.7413,0.4752,1.87,3.826
0.125201,26.0170119,-15.93748,HD  10700,G8V,274.17,4.3,,-0.59,,34.5,0.18,78.55,28.1,Simbad,26.01701,-15.93748,26.0170480154000,-15.9374818835000,0.020,0.012,90,2452378776434276992,26.00930287667,0.4122,-15.93379865094,0.3505,277.5162,0.5173,-1729.726,1.313,855.493,0.783,1,1.05171e+09,7.22737e+06,3.133622,4.34215e+08,3.59447e+06,3.757126,6.34651e+08,1.93375e+06,2.755582,1.001544,,,5375.00,,,0.86,0.559
0.224397,27.3473206,-10.70356,HD  11131,G0,43.47,4.5,,-0.06,<,5.21,0.33,213.1,36.16,Simbad,27.34732,-10.70356,27.3472937690000,-10.7036164824000,0.003,0.002,90,2461045711199481472,27.34658638656,0.0814,-10.70393891582,0.0822,42.2510,0.1122,-161.437,0.167,-74.888,0.159,0,4.42953e+07,2.20825e+04,6.572473,2.36145e+07,5.07999e+04,6.918442,2.87801e+07,1.10127e+05,6.114188,0.804254,-4.18,0.22,5793.00,0.0192,0.0167,0.98,0.979
