angDist,_RAJ2000,_DEJ2000,HD,RAJ2000,DEJ2000,Smin,Smax,SMW,logRmin,logRmax,logRMW,Age,e_Age,Teff,[Fe/H],GCS,Simbad,Ref,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val
0.488870,0.167917,-69.675833,224789,00 00 40.3,-69 40 33,0.377,0.458,,-4.557,-4.455,,7.56,4.66,5167,-0.16,GCS,Simbad,17,0.1680003670280,-69.6759656742000,0.001,0.001,90,4703237305086965376,0.16749747197,0.0277,-69.67625647103,0.0235,34.0851,0.0299,-40.569,0.059,-67.540,0.044,0,1.17406e+07,5.36767e+03,8.014144,5.61779e+06,8.90538e+03,8.477475,8.53297e+06,1.10746e+04,7.434169,1.043306,36.78,0.13,5176.50,0.1580,0.0780,0.81,0.426
0.798096,1.244583,-70.212222,225299,00 04 58.7,-70 12 44,0.185,0.193,,-4.833,-4.802,,6.28,4.41,5698,0.08,GCS,Simbad,19,1.2446546231500,-70.2124423633000,0.001,0.001,90,4702964901081513600,1.24532275153,0.0316,-70.21285719417,0.0259,22.6055,0.0339,52.533,0.054,-96.347,0.048,0,1.23544e+07,4.94889e+03,7.958810,6.43864e+06,1.32884e+04,8.329403,8.20389e+06,1.73811e+04,7.476870,0.852533,12.36,0.16,5674.33,0.0940,0.0380,1.01,0.961
0.263742,1.28125,-52.151667,23,00 05 07.5,-52 09 06,0.173,0.193,,-4.905,-4.795,,1.73,1.41,6203,-0.07,GCS,Simbad,19,1.2812304296700,-52.1517392708000,0.001,0.001,0,4973139402225747072,1.28045246626,0.0198,-52.15229797744,0.0208,23.6254,0.0325,-110.865,0.040,-129.764,0.042,0,2.09082e+07,3.63170e+03,7.387572,1.15356e+07,1.09956e+04,7.696287,1.31564e+07,1.17986e+04,6.964079,0.732207,34.69,0.13,5934.75,0.0735,0.0300,1.15,1.467
0.578673,2.068333,-14.824444,361,00 08 16.4,-14 49 28,0.188,0.195,,-4.793,-4.763,,3.19,2.45,5895,-0.2,GCS,Simbad,17,2.0681742520700,-14.8244918224000,0.001,0.001,90,2417456431710276096,2.06810944918,0.0372,-14.82453956127,0.0326,36.5675,0.0493,-14.550,0.096,-11.088,0.084,0,3.33571e+07,8.27986e+03,6.880395,1.79502e+07,1.93705e+04,7.216218,2.14596e+07,2.76125e+04,6.432866,0.783351,8.07,0.14,5899.75,0.0180,0.0167,0.95,0.979
0.251300,4.052917,-79.851111,1237,00 16 12.7,-79 51 04,0.39,0.458,,-4.402,-4.317,,6.15,4.51,5533,-0.05,GCS,Simbad,19f,4.0528298448500,-79.8511790954000,0.001,0.001,90,4634528720388462592,4.06343227044,0.0228,-79.85142176067,0.0201,56.9319,0.0235,433.908,0.044,-56.322,0.039,0,5.22251e+07,2.82026e+04,6.393667,2.60784e+07,8.85180e+04,6.810688,3.57523e+07,1.18182e+05,5.878661,0.932027,-6.05,0.14,5520.00,0.0590,0.0248,0.88,0.649
0.504255,5.645,-73.032222,1893,00 22 34.8,-73 01 56,0.244,0.244,,-4.691,-4.691,,5.51,4.22,5538,0.13,GCS,Simbad,1,5.6448827578200,-73.0323578277000,0.001,0.001,90,4688756084117388544,5.64475705320,0.0291,-73.03255905349,0.0239,21.0990,0.0307,-8.520,0.054,-46.736,0.048,0,8.28510e+06,3.00154e+03,8.392621,4.19346e+06,4.71611e+03,8.794956,5.68122e+06,1.01933e+04,7.875815,0.919141,37.06,0.14,5504.50,0.0930,0.0530,0.95,0.751
0.658922,8.761667,-63.695,3222,00 35 02.8,-63 41 42,0.154,0.189,,-5.206,-5.054,,7.06,4.72,5024,-0.17,GCS,Simbad,17,8.7617439917400,-63.6951798258000,0.001,0.001,90,4900637266186106752,8.77037814638,0.0266,-63.69740790452,0.0225,34.9551,0.0284,888.663,0.053,-517.428,0.045,0,9.15884e+06,3.11618e+03,8.283764,4.27755e+06,6.57824e+03,8.773399,6.83140e+06,8.38429e+03,7.675645,1.097755,3.48,0.17,5059.05,0.1317,0.0550,0.74,0.323
0.482129,10.8025,-37.9825,4113,00 43 12.6,-37 58 57,0.149,0.169,,-5.021,-4.915,,8.2,3.53,5687,0.24,GCS,Simbad,1aa,10.8024819602000,-37.9826331678000,0.001,0.001,90,5000774703569900800,10.80275150281,0.0434,-37.98312476219,0.0256,23.8531,0.0536,49.344,0.062,-114.176,0.051,0,1.55289e+07,2.92976e+03,7.710511,8.07376e+06,6.84176e+03,8.083699,1.04120e+07,8.58663e+03,7.218087,0.865613,5.13,0.12,5675.50,0.2247,0.1060,1.08,1.085
0.586619,15.329167,-60.86,6107,01 01 19.0,-60 51 36,0.143,0.164,,-5.046,-4.919,,7.35,0.54,5759,-0.05,GCS,Simbad,19,15.3293069798000,-60.8601480086000,0.001,0.001,90,4902845257333278976,15.32996178193,0.0268,-60.85972622697,0.0217,21.4571,0.0236,74.056,0.054,97.963,0.047,0,3.77319e+07,7.39630e+03,6.746595,1.98723e+07,3.74594e+04,7.105766,2.47154e+07,3.77997e+04,6.279502,0.826263,31.61,0.14,5719.33,,,1.84,3.249
0.286384,15.683333,-47.2875,6236,01 02 44.0,-47 17 15,0.146,0.151,,-5.044,-5.005,,3.84,2.75,6035,0.02,GCS,Simbad,19,15.6833342608000,-47.2875795465000,0.001,0.001,0,4933040900355014144,15.68311168181,0.0206,-47.28814748689,0.0212,21.2813,0.0315,-35.066,0.041,-131.908,0.046,1,1.79415e+07,3.27793e+03,7.553719,9.78249e+06,7.71875e+03,7.875265,1.14065e+07,8.82937e+03,7.119040,0.756226,18.45,0.14,5923.00,0.1415,0.0560,1.18,1.552
